Emails,Labels
"
11451001010_MATH F111 » Forums » Announcements » Notice for extra class
Picture of Suresh Kumar . . 	
Notice for extra class
  	






See this post in context
Change your forum digest preferences


",Academics
"

11451001004_BITS F111 » Forums » Announcements » Tutorial Section 15 - Room Changed
Picture of Aakash Chand Rai . 	
Tutorial Section 15 - Room Changed
  	
PDF document Notice_8.08.2019_2.pdf

Dear Students,


The room no. for tutorial section 15 has been changed. From now onwards, tutorial classes will be conducted in Room #1231, which is in FD1.


Best regards,
Aakash
See this post in context
Change your forum digest preferences


",Academics
"

Dear Students,
As I am travelling out of India to deliver an invited talk in Aditya Birla Group Senior Manufacturing Leaders Technology Conference series “REPRISM 2019” (Reinforcing Engineering Pride & Recognizing Innovative Seamless Manufacturing – a celebration for manufacturing professionals), so I will  not be engaging Thermodynamics course classes for Lecture Section 1 in this week i.e. on 14th and 16th August. We will have extra class sometime next week to compensate the same. I will be back on Sunday i.e. 18th August 2019. However my tut class will be engaged by some other instructor.


Manoj Soni
I/c, BITS F111 Thermodynamics




-- 

Manoj Kumar Soni, Ph.D., FIE,
Associate Professor, Mechanical Engineering,
Birla Institute of Technology & Science, Pilani
Pilani Campus
Vidya Vihar, 
Pilani 333031, Rajasthan, India


",Academics
"

11451001004_BITS F111 » Forums » Announcements » No class for Lecture section 1 on 14th and 16th August 2019
Dr. Manoj Soni 	
No class for Lecture section 1 on 14th and 16th August 2019
  	

Dear Students,
There will be No class for Lecture section 1 on 14th and 16th August 2019 as I am traveling out of India and will be back on 18th August. I will be engaging extra class for the same next week.


Manoj Soni

Instructor, Lecture section 1
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » Notice of class cancellation of tutorial sections 17 and 18
Picture of Suresh Kumar . . 	
Notice of class cancellation of tutorial sections 17 and 18
  	


IC
See this post in context
Change your forum digest preferences


",Academics
"

Picture of Suresh Kumar . . 	
  	

All the students of Mathematics-I course are advised to check and attend their officially assigned tutorial section. In particular, class test given in a wrong tutorial section will not be considered for evaluation and marks. No request will be entertained in this regard.

IC
See this post in context
Change your forum digest preferences


",Academics
"

BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE, PILANI

NOTICE

BITS F111 Thermodynamics
Lecture section 1

EXTRA CLASS

Date 22nd August 2019 (Thursday)

lecture section 1

Time 9.00 PM



Interested students from other sections may also attend.

-- 

Manoj Kumar Soni, Ph.D., FIE,
Associate Professor, Mechanical Engineering,
Birla Institute of Technology & Science, Pilani
Pilani Campus
Vidya Vihar, 
Pilani 333031, Rajasthan, India


",Academics
"

Greetings Freshmen!

Hope you are enjoying your campus life. We have come to know that there is a need for study material among you all. So we have compiled the material from past few years to help you all out.

The drive contains folders for each of the courses offered this semester and the folders each contain a 'Readme' file which will you a rough description on the course and/or the contents of the folder. The changes And modifications made will be updated to you in the Readme files. We will be updating the drive regularly as need be.

PFA the drive link.

Freshers Study Material


The drive contains extensive material for preparation for the examinations, but it is never enough. We therefore want to increase the content available to all of you. We request you to upload any Tutorial test papers that you must have received from your respective book - pop/mom. Any help would be appreciated.

Freshers Study Material Upload


A Link of Google form for Grievances and Suggestions is also attached below

Grievances Form


Also, we would urge you all to go out and attend your classes and not misuse the institute's attendance policy.

For any queries, you can contact on WhatsApp .


Warm Regards,

Aman Garg
B.E.(Hons.) Chemical Engineering  
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄

Birla Institute of Technology and Science, Pilani

Vidya Vihar, Pilani

Rajasthan - 333031, India

Sunil Saharan 
MSc (Hons.) Economics, B.E.(Hons.) Electrical And Electronics Engineering  
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄

Birla Institute of Technology and Science, Pilani

Vidya Vihar, Pilani

Rajasthan - 333031, India


",Academics
"

11451001004_BITS F111 » Forums » Announcements » Instructions for Latecomers in Lecture Classes (Section 3, Aakash Chand Rai)
Picture of Aakash Chand Rai . 	
Instructions for Latecomers in Lecture Classes (Section 3, Aakash Chand Rai)
  	

Dear students,


1)  DON'T ENTER THE CLASS AT YOUR OWN WISH.

2) Patiently wait outside the class - I will let you in (once there is a sufficiently large group) after 5-10 minutes.

I again urge you to avoid coming late to the class since it creates disturbance for me and the students. I also request your full cooperation in this matter, and hope this helps to maintain discipline in the class, especially at the beginning of the lectures.

Best regard,

Aakash C. Rai
See this post in context
Change your forum digest preferences


",Academics
"

11451001004_BITS F111 » Forums » Announcements » Notice Extra class 22nd August 2019 room 5104 at 9 PM lecture section 1
Dr. Manoj Soni 	
Notice Extra class 22nd August 2019 room 5104 at 9 PM lecture section 1
  	

BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE, PILANI

NOTICE

BITS F111 Thermodynamics 
Lecture section 1

EXTRA CLASS

Date 22nd August 2019 (Thursday)

lecture section 1

Time 9.00 PM





See this post in context
Change your forum digest preferences


",Academics
"

11451001008_CS F111 » Forums » Announcements » Lectures for section 2 cancelled for Monday and Wednesday
Picture of Pratik Narang . 	
Lectures for section 2 cancelled for Monday and Wednesday
  	

Dear students,

The lectures for section 2 stand cancelled for Monday and Wednesday. Compensatory classes will be announced later.


IC
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » T3 class cancellation notice
Picture of Suresh Kumar . . 	
T3 class cancellation notice
  	

See this post in context
Change your forum digest preferences


",Academics
"

Picture of Aakash Chand Rai . 	
  	

Dear all,


watch

Kindly go through the video before coming to the class and it would help you better understand tomorrow's lecture.

Best regards,

Aakash
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » Class Room Change for Rajiv Kumar Saturday First hour
Picture of Rajiv Kumar . . 	
Class Room Change for Rajiv Kumar Saturday First hour
  	

Class  Room of  Section   twenty  two of  Rajiv Kumar  Saturday  First hour is now  6153

instead  of   2215  coming Class on  thirty First  AUGUST   will  be held in Room n.  6153

Rajiv Kumar
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » Section T17 compensatory class notice
Picture of Shivani Sharma . 	
Section T17 compensatory class notice
  	

A compensatory tutorial class is scheduled for T17 students in room No. 6160 at 5.00 PM.

Instructor. Shivani Sharma 
See this post in context
Change your forum digest preferences


",Academics
